formula,spacegroup,ref_gap,mp_pbe_gap,c_lo,gap_lo,c_hi,gap_hi,dGap_dc,c_star,fit_r2,n_species,natoms,volume_per_atom,density,mean_electroneg,electroneg_spread,mean_Z,max_Z,mean_row,valence_e_per_atom,grad_ratio,c_selfconsistent,pbe_gap,band_center,qc,qc_pass
Sb2S3,Pnma,1.7,1.2866,1.2,1.7227,1.7,2.5961,1.7468,1.187,1.0,2,20,25.785395598507144,4.375422722175947 g cm^-3,2.368,0.5300000000000002,30.0,51.0,3.8,30.0,2.3780819616012847,1.1355975421695097,1.2866,-2.826,clean,1
CsGeCl3,R3m,3.4,2.1558,1.2,2.6472,1.7,3.5941,1.8938,1.5975,1.0,3,5,32.58505776171515,3.1789388327243446 g cm^-3,2.456,2.37,27.599999999999998,55.0,3.8,27.6,2.827248387946826,1.2392906017336438,2.1558,-3.4871,clean,1
CsGeI3,R3m,1.6,0.9905000000000002,1.2,1.2573,1.7,1.6243,0.7339,1.6669,1.0,3,5,45.01362335792861,4.325382720624435 g cm^-3,2.156,1.87,49.199999999999996,55.0,5.0,49.2,2.5876658036982043,1.1850996212644103,0.9905000000000002,-2.616,clean,1
AgInS2,I-42d,1.9,0.37729999999999997,1.2,1.2499,1.7,2.8922,3.2846,1.3979,1.0,3,8,24.57354733276918,4.845347505024708 g cm^-3,2.2175000000000002,0.8,32.0,49.0,4.0,32.0,3.3120245710543097,1.3423252487660566,0.37729999999999997,-3.139,clean,1
CuAlTe2,I-42d,2.06,1.0469999999999997,1.2,1.8836,1.7,2.2941,0.8211,1.4149,1.0,3,8,27.339099729395024,5.249753008760315 g cm^-3,1.9275,0.49,36.5,52.0,4.25,36.5,2.915314573935454,1.2586294353139265,1.0469999999999997,-3.4949,clean,1
SnSe2,P-3m1,1.0,0.6878000000000002,1.2,1.2721,1.7,2.8562,3.1682,1.1141,1.0,2,3,27.635683526817726,5.540601417822709 g cm^-3,2.353333333333333,0.5899999999999999,39.33333333333333,50.0,4.333333333333333,39.333333333333336,2.5607541256931365,1.1788584445131438,0.6878000000000002,-2.2916,clean,1
CaZrO3,Pnma,5.7,3.8260000000000005,1.2,4.5908,1.7,5.5797,1.9778,1.7608,1.0,3,20,12.936325039318259,4.603084505750543 g cm^-3,2.5300000000000002,2.44,16.8,40.0,3.0,16.8,3.0694925151571737,1.2917955351066028,3.8260000000000005,-1.9924,clean,1
SrSnO3,Pnma,4.1,1.7406000000000001,1.2,2.9638,1.7,4.9388,3.9499,1.4877,1.0,3,20,13.31087499698159,6.345516909051056 g cm^-3,2.646,2.49,22.400000000000002,50.0,3.2,22.4,2.998451517544641,1.2766195492931325,1.7406000000000001,-2.3652,clean,1
NaTaO3,Pnma,4.0,2.5925999999999996,1.2,3.4624,1.7,4.794,2.6631,1.4019,1.0,3,20,11.70305179928378,7.149405594053545 g cm^-3,2.5500000000000003,2.51,21.6,73.0,3.0,21.6,3.2485546395811125,1.3292856802367141,2.5925999999999996,-2.6773,clean,1
BaHfO3,Pm-3m,6.0,3.5394,1.2,4.4709,1.7,6.0086,3.0754,1.6972,1.0,3,5,14.500639186163061,8.332451347377436 g cm^-3,2.5020000000000002,2.55,30.400000000000002,72.0,3.6000000000000005,30.4,2.7822252591230687,1.2292873933504953,3.5394,-2.2795,clean,1
SrHfO3,Pnma,6.1,4.1684,1.2,5.0987,1.7,6.6869,3.1764,1.5152,1.0,3,20,13.545607769744496,7.701226052099758 g cm^-3,2.5140000000000002,2.49,26.8,72.0,3.4000000000000004,26.8,2.922582590537072,1.260212318904165,4.1684,-2.1776,clean,1
CaSnO3,Pnma,4.4,2.3327,1.2,3.5814,1.7,5.6096,4.0564,1.4018,1.0,3,20,12.440285609619917,5.520396786842774 g cm^-3,2.656,2.44,18.8,50.0,3.0,18.8,3.122225598869599,1.3029472772921533,2.3327,-2.1801,clean,1
